sort benchmark BATCHSIZE 10000 NUM_MULTI_BITS 3 complete after 82.93954s
Step,Records Sent,Indexed PRSS,Sequential PRSS
protocol/run-0/sort24/multi_apply_inv24/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort24/multi_apply_inv25/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort24/multi_apply_inv25/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort24/multi_apply_inv25/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort24/multi_apply_inv26/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort24/multi_apply_inv26/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort24/multi_apply_inv26/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort24/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort27/bit_permute,30000,0,0
protocol/run-0/sort27/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort27/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort27/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort27/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort27/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort27/multi_apply_inv27/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort27/multi_apply_inv27/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort27/multi_apply_inv27/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort27/multi_apply_inv28/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort27/multi_apply_inv28/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort27/multi_apply_inv28/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort27/multi_apply_inv29/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort27/multi_apply_inv29/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort27/multi_apply_inv29/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort27/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort27/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort27/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort27/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort3/bit_permute,30000,0,0
protocol/run-0/sort3/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort3/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort3/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort3/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort3/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort3/multi_apply_inv3/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort3/multi_apply_inv3/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort3/multi_apply_inv3/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort3/multi_apply_inv4/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort3/multi_apply_inv4/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort3/multi_apply_inv4/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort3/multi_apply_inv5/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort3/multi_apply_inv5/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort3/multi_apply_inv5/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort3/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort3/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort3/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort3/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort30/bit_permute,30000,0,0
protocol/run-0/sort30/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort30/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort30/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort30/compose/unshuffle_rho/shuffle2,20000,0,0
protocol/run-0/sort30/compose/unshuffle_rho/shuffle3,20000,0,0
protocol/run-0/sort30/multi_apply_inv30/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort30/multi_apply_inv30/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort30/multi_apply_inv30/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort30/multi_apply_inv31/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort30/multi_apply_inv31/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort30/multi_apply_inv31/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort30/multi_apply_inv32/shuffle_inputs/shuffle1,20000,0,0
protocol/run-0/sort30/multi_apply_inv32/shuffle_inputs/shuffle2,20000,0,0
protocol/run-0/sort30/multi_apply_inv32/shuffle_inputs/shuffle3,20000,0,0
protocol/run-0/sort30/shuffle_reveal_permutation/reveal_permutation,30000,0,0
protocol/run-0/sort30/shuffle_reveal_permutation/shuffle_permutation/shuffle1,20000,0,0
protocol/run-0/sort30/shuffle_reveal_permutation/shuffle_permutation/shuffle2,20000,0,0
protocol/run-0/sort30/shuffle_reveal_permutation/shuffle_permutation/shuffle3,20000,0,0
protocol/run-0/sort33/bit_permute,30000,0,0
protocol/run-0/sort33/bit_permute/multiply_across_bits/bit0,240000,0,0
protocol/run-0/sort33/bit_permute/multiply_across_bits/bit1,240000,0,0
protocol/run-0/sort33/compose/unshuffle_rho/shuffle1,20000,0,0
protocol/run-0/sort33/compose/unshuffle_rho/shuffle2,20000,0,0
